exam_id,question_id,question_text,option_a,option_b,option_c,option_d,correct_option,timestamp,student_id,selected_option
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:24:24,stu_001,b
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:27:05,stu_002,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:25:37,stu_003,b
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:25:59,stu_004,b
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:27:14,stu_005,a
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:25:41,stu_006,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:25:16,stu_007,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:25:10,stu_008,d
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:27:43,stu_009,
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:26:31,stu_010,b
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:27:23,stu_011,d
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:30:17,stu_012,
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:30:15,stu_013,d
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:29:27,stu_014,b
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:26:52,stu_015,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:27:22,stu_016,d
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:28:17,stu_017,
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:28:33,stu_018,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:28:47,stu_019,a
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:31:26,stu_020,
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:30:24,stu_021,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:28:36,stu_022,c
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:28:51,stu_023,a
ex_001,q_01,"According to the transcript, what analysis technique was used to evaluate how two factors affect one variable?",Linear Regression,Principal Component Analysis,Multifactorial ANOVA (2-way ANOVA),T-test,c,2025-06-10 13:31:27,stu_024,d
